stereotype,acc,delta-G,delta-S,delta-S_wmt
bing_it,51.8,31.8,43.7,48.3
bing_fr,69.2,6.2,14.4,24.3
bing_uk,48.2,18.8,12.4,18.2
bing_ru,46.4,15.6,8.7,24.1
bing_es,62.0,16.8,25.6,31.8
bing_he,65.4,1.9,21.0,25.4
bing_ar,54.0,20.8,23.4,35.9
google_it,52.0,26.2,41.2,42.2
google_fr,64.2,12.1,18.4,25.0
google_uk,46.5,14.7,14.4,24.2
google_ru,42.7,19.4,14.7,23.9
google_es,66.8,11.9,23.0,30.5
google_he,64.5,3.8,20.7,20.1
google_ar,55.2,18.3,33.8,31.1
systran_it,70.9,7.7,8.3,12.9
systran_fr,80.6,1.5,-2.8,-0.2
systran_uk,38.2,27.4,12.2,8.9
systran_ru,37.0,22.5,18.8,30.9
systran_es,94.1,0.1,1.2,4.5
systran_he,44.6,16.1,37.1,37.4
systran_ar,51.5,24.3,38.7,36.1
aws_it,58.9,16.8,29.1,40.3
aws_fr,68.0,5.7,9.0,28.1
aws_uk,41.4,27.4,25.8,37.0
aws_ru,47.3,15.7,6.1,23.1
aws_es,72.7,5.2,4.1,10.0
aws_he,60.3,10.0,25.9,27.8
aws_ar,59.2,15.3,19.8,24.2
deepl_it,61.9,15.8,30.4,35.2
deepl_fr,83.3,0.4,-5.5,-3.2
deepl_uk,54.7,8.2,5.6,16.0
deepl_ru,42.3,15.5,-0.2,9.9
deepl_es,83.1,6.4,16.0,16.6
